difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is a hub?,A Layer 2 device that forwards frames based on destination MAC addresses,A Layer 3 device that routes traffic between different IP subnets,A Layer 1 device that repeats incoming electrical signals out all other ports,A device that manages VLAN assignments across multiple switches,C,A hub is a Layer 1 device. It simply repeats an incoming electrical signal out every other port without inspecting frame contents or caring about the intended destination.,hub definition,hub repeats signals out all ports without inspecting frame contents,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What IEEE standard defines VLAN tagging on trunk links?,802.3af,802.1D,802.11,802.1Q,D,IEEE 802.1Q is the industry-standard method for tagging VLAN traffic on trunk links. It inserts a 4-byte tag into the Ethernet frame identifying the VLAN. All VLAN-aware devices on the trunk must understand 802.1Q to process tagged frames.,802.1q standard,802.1q is the ieee standard for vlan tagging on trunk links,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
easy,What is SSH and why is it used for network device management?,SSH is a file sharing protocol used to move configuration files between network devices,SSH is a Layer 2 protocol for encrypting VLAN traffic on trunk links,SSH is a secure remote terminal protocol that encrypts credentials and commands; used to manage routers and switches over the network,SSH is a monitoring protocol that collects interface statistics from managed switches,C,SSH (Secure Shell) provides encrypted remote CLI access to network devices. It replaces Telnet which sends all data — including passwords — in cleartext. SSH encrypts the entire session protecting credentials from eavesdropping.,ssh definition,ssh is an encrypted remote terminal protocol for managing network devices,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,What is a router's primary function?,To repeat electrical signals to extend the reach of an Ethernet segment,To learn MAC addresses and forward frames within a Layer 2 network,To forward traffic based on IP addresses connecting different IP networks or subnets,To assign VLAN IDs to ports on a managed switch,C,A router is a Layer 3 device. It examines destination IP addresses in packets and forwards them toward the correct subnet. Routers connect separate IP networks — and are required to connect a LAN to the internet.,router definition,router forwards traffic based on ip addresses between different subnets,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is NAT?,A protocol that converts MAC addresses to IP addresses for Layer 3 routing,A method that lets multiple private devices share one public IP address at the router,A VLAN tagging mechanism used by routers to separate broadcast domains,A routing protocol used to exchange subnet information between routers,B,NAT (Network Address Translation) allows many private IP hosts to share one public IP. The router substitutes its public IP as the source when internal hosts reach the internet and tracks sessions to return replies to the correct internal host.,nat definition,nat lets multiple private devices share one public ip at the router,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is DTP?,Dynamic Trunking Protocol — a Cisco protocol that negotiates whether a switch link should become a trunk,Dynamic Transfer Protocol — the mechanism that moves VLAN databases between switches,Designated Trunk Protocol — the IEEE standard that replaced ISL for VLAN tagging,Direct Trunk Path — the physical uplink between a distribution switch and a core switch,A,DTP (Dynamic Trunking Protocol) is Cisco proprietary. It negotiates trunk formation between Cisco switch ports. DTP auto mode waits passively; DTP desirable mode actively tries to form a trunk. Hard-coding port modes is preferred over relying on DTP.,dtp,dtp negotiates trunk formation between cisco switch ports,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is a trunk port?,A port reserved for management traffic and switch configuration,A port that connects only PoE-powered devices like IP phones and cameras,A port that carries traffic for only one VLAN and delivers frames untagged,A port that carries traffic for more than one VLAN using 802.1Q tagging,D,A trunk port carries multiple VLANs over one physical link. Each frame is tagged with an 802.1Q VLAN ID. Trunk ports commonly connect switches to other switches; to routers; or to VLAN-aware servers.,trunk port definition,trunk port carries multiple vlans using 802.1q tagging,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
easy,What is a VPN?,A VLAN protocol that uses encryption to protect inter-VLAN traffic on trunk links,An encrypted connection built across a public network like the internet to create a secure private path,A protocol for dynamically assigning IP addresses to remote access devices,A Cisco proprietary trunking method replaced by 802.1Q,B,A VPN (Virtual Private Network) is an encrypted tunnel built over the internet. Common use cases are giving remote workers secure access to the company network (remote-access VPN) and connecting offices in different cities (site-to-site VPN).,vpn definition,vpn is an encrypted connection over a public network creating a secure private path,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What does a switch do with a frame that has destination MAC FF-FF-FF-FF-FF-FF?,It drops the frame because FF-FF-FF-FF-FF-FF is not a valid unicast destination,It forwards the frame only to the port listed in the MAC address table for that address,It sends the frame to the default gateway for routing,It forwards the frame to all ports except the ingress port as a broadcast,D,FF-FF-FF-FF-FF-FF is the Layer 2 broadcast address. When a switch receives a frame with this destination it forwards a copy out every port in the same VLAN except the port the frame came in on. All devices in the broadcast domain receive it.,broadcast frame behavior,ff-ff-ff-ff-ff-ff destination causes switch to broadcast to all ports,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the MAC address table also called?,The IP routing table,The ARP cache,The forwarding database,The VLAN assignment table,C,The MAC address table — which maps learned MAC addresses to switch ports — is also called the forwarding database. Both terms refer to the same data structure the switch uses to make frame forwarding decisions.,mac address table,mac address table is also called the forwarding database,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What does Telnet send over the network?,Only usernames in plaintext while passwords are encrypted with a one-way hash,Usernames; passwords; commands; and all output in plaintext with no encryption,Encrypted command output but plaintext usernames to identify the user,Only configuration data encrypted; interactive session traffic is excluded,B,Telnet is a legacy protocol that transmits all session data — including usernames; passwords; and every command typed — in plaintext. Anyone monitoring the network path can capture and read the credentials directly.,telnet weakness,telnet sends all credentials and commands in plaintext with no encryption,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,What is a managed switch?,A switch that forwards frames only at Layer 1 using signal amplification,A switch with a fixed configuration that cannot be changed after manufacture,A high-speed core switch designed only for inter-switch uplink connections,A switch that can be configured and monitored remotely often via a web interface or CLI,D,A managed switch supports remote configuration and monitoring. It typically has an IP address for management access; supports VLAN configuration; and may offer a web interface or CLI (via Telnet or SSH). VLAN deployment requires managed switches.,managed switch definition,managed switch supports remote configuration and monitoring,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What happens to the collision domain when a hub is replaced with a switch?,The switch merges all device collision domains into a single shared segment,The collision domain is unchanged because switches still share physical media,Each switch port becomes its own separate collision domain eliminating most collision risk,The switch eliminates all broadcast domains in addition to collision domains,C,Hubs put all connected devices into one large collision domain. A switch creates a separate collision domain per port link. This means two devices communicating through a switch do not interfere with other pairs communicating on other ports simultaneously.,switch collision domain behavior,switch creates separate collision domain per port eliminating shared collisions,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What Layer of the OSI model does a router operate at?,Layer 1 — physical,Layer 2 — data link,Layer 4 — transport,Layer 3 — network,D,Routers operate at Layer 3 (network layer) of the OSI model. They make forwarding decisions based on IP addresses. Switches primarily operate at Layer 2 (data link) using MAC addresses.,router layer,router operates at layer 3 network layer using ip addresses,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,Why is traffic between two VLANs on the same switch not forwarded at Layer 2?,Switches always drop traffic between VLANs to protect the MAC address table from being overwritten,VLANs operate at Layer 3 so they require NAT translation before forwarding between segments,Each VLAN is a separate Layer 2 broadcast domain and a switch only forwards frames within the same VLAN; a Layer 3 device is needed to route between VLANs,Traffic between VLANs is denied by DTP until an administrator manually authorizes the path,C,VLANs create separate Layer 2 broadcast domains. A Layer 2 switch only forwards frames within the same VLAN. To move traffic from VLAN 10 to VLAN 20; a Layer 3 device (router or Layer 3 switch) must route the packet between subnets.,inter-vlan routing requirement,layer 2 switch cannot forward between vlans; a layer 3 device is required,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is a bridge?,A Layer 2 device similar to a switch but typically with only two ports used to connect network segments,A Layer 3 device that filters traffic by IP address between VLANs,A physical cable connector used to join two fiber optic runs,A software-only construct used to create virtual network interfaces inside a hypervisor,A,A bridge is a MAC-forwarding device like a switch but usually has only two ports. Bridges predate inexpensive multiport switches. A modern switch is essentially a multiport bridge. Bridges can also join different media types or speeds.,bridge definition,bridge is a mac-forwarding two-port device predecessor to modern switches,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is an SFP port?,A software-defined port used to assign VLAN IDs on managed switches,A modular high-speed interface port that accepts pluggable copper or fiber transceiver modules,A dedicated management port used only for out-of-band switch administration,A special port that supplies PoE power to connected devices,B,SFP (Small Form-Factor Pluggable) ports accept modular transceivers for different media types. You can insert an SFP module for 10 Gbps copper or 8 Gbps fiber depending on what the link requires. This gives the switch flexible high-speed connectivity options.,sfp definition,sfp is a modular pluggable interface port accepting copper or fiber transceivers,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What does router-on-a-stick mean?,A router connected serially to a hub using a shared coaxial backbone cable,A router that uses one physical interface with multiple subinterfaces over an 802.1Q trunk to route between VLANs,A router that handles both NAT and VPN on the same physical device simultaneously,A router with a single IP address shared across all VLANs for simplified management,B,Router-on-a-stick: one physical router port is trunked to the switch. The router creates subinterfaces (e.g. fa0/0.10 for VLAN 10; fa0/0.20 for VLAN 20) each with encapsulation dot1Q and a gateway IP. All inter-VLAN traffic routes through that one physical link.,router-on-a-stick definition,router-on-a-stick uses one trunk interface with subinterfaces to route between vlans,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
easy,What problem does ARP use broadcasts to solve?,ARP broadcasts ask routers which path to use to reach a remote subnet,ARP broadcasts notify all hosts that a new device has joined the VLAN,ARP broadcasts ask all devices on the local segment which MAC address corresponds to a given IP address,ARP broadcasts advertise the default gateway IP to newly connected hosts,C,ARP (Address Resolution Protocol) resolves IP addresses to MAC addresses. When a host needs to send a frame to an IP address it does not have a MAC for; it broadcasts an ARP request to ask all local devices which one owns that IP. ARP is a common source of broadcast traffic.,arp broadcast behavior,arp broadcasts ask who owns a given ip address to get the corresponding mac,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the default VLAN that all switch ports belong to before any VLAN configuration is applied?,VLAN 0,VLAN 99,VLAN 4094,VLAN 1,D,On most switches all ports default to VLAN 1 out of the box. This means all devices connected to an unconfigured switch can communicate with each other. Administrators must explicitly assign ports to other VLANs to create logical separation.,vlan1 default,all switch ports default to vlan 1 before any vlan configuration,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is an uplink port on a switch?,A port that provides PoE power to connected IP phones and cameras,A port that connects a switch to another switch carrying aggregated traffic from many downstream hosts,A port that connects directly to end-user workstations and printers,A port that provides console access for out-of-band management,B,An uplink is an inter-switch connection. Uplink ports carry aggregated traffic from all downstream hosts and are typically configured at higher speeds because they handle more traffic than ordinary access ports.,uplink definition,uplink is an inter-switch port carrying aggregated downstream traffic,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the security risk of leaving switch ports in DTP auto mode?,Auto mode increases BPDU traffic causing STP to re-elect the root bridge more frequently,Auto mode prevents VLAN tagging on the port making all traffic unreadable by other switches,Auto mode enables attackers to negotiate a trunk connection gaining access to traffic for all VLANs,Auto mode disables the port-security feature allowing any MAC address to connect,C,DTP auto mode waits passively for a trunk negotiation request. An unauthorized device that speaks DTP can trigger trunk formation allowing it to send and receive tagged traffic for all VLANs — a VLAN hopping risk. Hard-coding access mode prevents this.,dtp security risk,auto mode allows unauthorized device to negotiate trunk and access all vlans,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,How does a router handle Layer 2 broadcasts?,Routers amplify broadcasts and retransmit them to all connected subnets to ensure delivery,Routers convert Layer 2 broadcasts into Layer 3 unicasts before routing them to the destination subnet,Routers store Layer 2 broadcasts in the MAC table and forward them to the next hop,Routers do not forward Layer 2 broadcasts; they block them at subnet boundaries,D,Routers are broadcast-boundary devices. A Layer 2 broadcast (FF-FF-FF-FF-FF-FF) does not cross a router interface. This is a key reason routers are used to connect separate subnets — each subnet has its own broadcast domain.,broadcast boundary role,routers block layer 2 broadcasts segmenting broadcast domains at subnet boundaries,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is ISL in the context of VLAN trunking?,ISL (Inter-Switch Link) is Cisco's older proprietary VLAN trunking method replaced by 802.1Q,ISL (Internal Segment Link) is the IEEE standard for connecting switches at Layer 1,ISL (Interface Speed Limiter) is a QoS mechanism that caps bandwidth on trunk ports,ISL (Integrated Switch Layer) is a Cisco feature combining routing and switching in one device,A,ISL (Inter-Switch Link) was Cisco's proprietary VLAN trunking protocol. It encapsulated the entire Ethernet frame. ISL has been replaced by the vendor-neutral IEEE 802.1Q standard and is considered obsolete on modern networks.,isl definition,isl is cisco proprietary vlan trunking replaced by 802.1q,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
easy,What is the difference between flooding and broadcasting on a switch?,Flooding and broadcasting are the same operation; the terms are interchangeable,Flooding sends a frame to all devices including devices in other VLANs; broadcasting stays within the local VLAN only,Flooding is for unknown unicast destinations while broadcasting is intentional traffic addressed to all devices,Flooding is a router function and broadcasting is a switch function,C,Flooding is what the switch does when the destination MAC is unknown — it sends the frame everywhere except the ingress port hoping to reach the destination. Broadcasting is intentional traffic using the FF-FF-FF-FF-FF-FF address meant for all devices on the segment.,flooding vs broadcasting,flooding handles unknown unicast; broadcasting is intentional all-device traffic,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the VTP limitation administrators must understand?,VTP can accidentally delete all VLANs if a switch with a higher revision number is introduced,VTP assigns access ports to VLANs automatically making manual port assignment unnecessary,VTP replicates VLAN information but does not assign switch ports to VLANs for you,VTP only works over ISL trunks and is incompatible with 802.1Q,C,VTP reduces the need to manually create VLAN IDs and names on every switch by replicating the VLAN database. However VTP does not do port assignment — the administrator must still manually assign each access port to the correct VLAN on each switch.,vtp limitation,vtp replicates vlan info but does not assign access ports to vlans,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What does it mean that a switch forwards frames transparently?,The switch encrypts frames using a transparent cipher before sending them to the destination,The switch strips and replaces headers with its own MAC address making itself invisible to endpoints,The switch forwards an unchanged copy of the frame — endpoints cannot tell from the frame that a switch handled it,The switch copies frames to a monitoring port while forwarding the original unchanged,C,Transparency means the switch does not alter the frame content during normal Layer 2 forwarding. The original source and destination MAC addresses are unchanged. The endpoint receiving the frame has no indication a switch was in the path.,frame transparency,switch forwards unchanged frame copy so endpoints cannot detect switch in path,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is a site-to-site VPN used for?,Giving individual remote workers encrypted access to the company network from home,Encrypting VLAN traffic between two switches in the same building,Securely connecting two offices in different geographic locations over the internet,Providing encrypted console access to Cisco routers in the same data center,C,A site-to-site VPN connects two office locations over the internet using an encrypted tunnel. Traffic between the offices appears to travel through a secure private link even though the underlying path crosses the public internet.,site-to-site vpn,site-to-site vpn securely connects two offices over the internet,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,Why is shared Ethernet a security problem?,Shared Ethernet uses weak encryption that attackers can break with commodity hardware,Shared Ethernet sends all traffic to all devices on the segment so any device can capture traffic meant for others,Shared Ethernet requires plaintext IP addresses making ARP spoofing easier,Shared Ethernet has no MAC address learning so every frame is flooded permanently,B,On a shared Ethernet segment (hub-based) every frame is delivered to every connected device. Each device is supposed to keep only frames addressed to itself — but nothing prevents a device in promiscuous mode from capturing all traffic. Privacy is not enforced by the hardware.,security problem of shared media,shared ethernet delivers all frames to all devices enabling passive traffic capture,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What two SSH authentication methods are supported?,Certificate-based and token-based authentication,RADIUS and TACACS+ server-based authentication,Biometric and smart-card authentication,Password authentication and public key authentication,D,SSH supports two main authentication methods: password authentication (username and password verified by the device) and public key authentication (the client has a private key and the device has the matching public key — no password transmitted).,ssh authentication methods,ssh supports password authentication and public key authentication,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,Why do VLANs avoid the need for physical redesign when reorganizing departments?,VLANs use NAT to remap IP addresses so devices do not need to move,VLANs allow departments to share one switch with logical isolation so ports are reassigned in software not by moving cables,VLANs eliminate the need for a router so network changes require less physical infrastructure,VLANs automatically detect device moves and update VLAN assignment without administrator intervention,B,Because VLAN membership is assigned by port in software an administrator can reassign a switch port to a different VLAN without touching any cables. This makes department moves and reorganizations much faster and cheaper than physically relocating hardware or rewiring.,why vlans are easier than physical redesign,vlan port reassignment in software avoids physical cable moves during reorganization,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
easy,What does it mean for a switch to buffer frames?,A buffer is a VLAN assignment table that maps ports to VLANs temporarily,A buffer is a collision recovery timer that prevents simultaneous transmissions,Switches use memory buffers to hold a complete frame temporarily if the destination port is busy before forwarding it,Buffering means the switch copies frames to a monitoring server before forwarding them,C,Switch buffers are memory areas that hold incoming frames while the destination port is occupied. Without buffers frames arriving faster than the destination port can transmit them would be dropped. Buffers allow the switch to absorb short bursts of traffic.,switch buffering,switch buffers hold frames in memory if destination port is busy,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What happens on a shared Ethernet segment when two devices transmit at the same time?,The switch automatically retransmits both frames after a brief delay,Both transmissions succeed because Ethernet uses full-duplex communication,Both transmissions become corrupted in a collision and must be retransmitted after a random wait,The hub selects the higher-priority transmission and drops the other,C,On shared media (hub or shared segment) simultaneous transmissions collide. The electrical signals mix and corrupt both frames. CSMA/CD detects the collision and both devices wait a random back-off time before retransmitting.,collision behavior,simultaneous transmissions on shared media cause collisions corrupting both frames,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
