difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
hard,Why is SSH preferred over Telnet for managing switches and routers?,SSH supports significantly more CLI commands than Telnet,SSH encrypts the entire session including credentials preventing interception by network sniffers,SSH is faster than Telnet over slow WAN links,Telnet requires a Windows-only client while SSH works cross-platform,B,Telnet sends everything in cleartext — a packet capture reveals passwords instantly. SSH encrypts all session data.,ssh replacement,encrypted remote shell with stronger authentication support,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
hard,How does a host use its subnet mask to decide whether a destination is on the local network or needs a gateway?,It compares hostnames using a local DNS lookup,It performs a bitwise AND of the destination IP with its own subnet mask and compares the result to its own network ID,It checks the routing table only for exact 32-bit host route matches,It sends an ARP request and uses the response to determine locality,B,Bitwise ANDing the destination IP with the mask extracts the destination's network ID — if it matches the local network ID no gateway is needed.,ip-mask relationship,bitwise masking determines local network membership and gateway decisions,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
hard,How many bits does IPv6 use for addressing and why was this increase necessary?,64 bits for improved routing efficiency,128 bits to provide a vastly larger address space than IPv4's 32-bit limit,32 bits same as IPv4 but with a different notation,256 bits to support future quantum networking,B,IPv6's 128-bit address space provides approximately 340 undecillion addresses resolving IPv4 exhaustion.,ipv6 structure,128-bit address space for long-term scalability,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IP Addressing Fundamentals.md
medium,Why must the IOS image never be deleted during a Cisco switch factory reset?,The IOS is stored in volatile RAM not in flash,Deleting the IOS leaves the switch with no operating system making it unbootable and requiring physical recovery,Cisco CLI prevents deletion of the IOS via any command,The IOS is write-protected in hardware and cannot be erased,B,Without the IOS the switch cannot boot at all — recovery requires a console cable and a TFTP transfer of the IOS image.,cisco switch factory reset path,boot interruption; flash initialization; config deletion; and reboot,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 11 - Factory Reset Cisco Switch/Transcript.md
hard,What is a Regional Internet Registry (RIR) and what is its function?,A country-level DNS authority managing TLD zones,An organization that receives IP address blocks from IANA and distributes them to ISPs in a geographic region,A type of BGP border router operated by tier-1 providers,A DHCP server pool managed by internet service providers,B,RIRs (ARIN; RIPE; APNIC; LACNIC; AFRINIC) are the regional bodies between IANA and ISPs in the IP allocation chain.,allocation chain,iana to rir to isp/organization to endpoints,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IANA
hard,What is the key advantage of CIDR over classful IPv4 addressing?,CIDR assigns addresses more quickly using fewer bits,CIDR allows any prefix length decoupling subnet size from rigid Class A/B/C boundaries and reducing address waste,CIDR works only with IPv6 and not with IPv4,CIDR eliminates the need for subnet masks entirely,B,CIDR's flexible prefix lengths allow precise subnet sizing matching organizational needs instead of wasteful classful allocations.,classless subnetting,cidr prefix notation decoupled from strict a/b/c boundaries,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
easy,Besides remote device management what other task can Telnet be used for in network troubleshooting?,Capturing encrypted packet headers,Testing whether a specific TCP port on a remote host is open and responding,Assigning DHCP leases to network clients,Encrypting and tunneling diagnostic commands,B,Specifying a port number with Telnet tests TCP connectivity to any service — useful for checking if a port is reachable.,telnet operational uses,remote management and basic port connectivity testing,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,How many bits does an IPv6 address use?,32,64,128,256,C,IPv6 uses 128-bit addresses providing a vastly larger address space than IPv4's 32 bits.,ipv6 structure,128-bit address space for long-term scalability,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IP Addressing Fundamentals.md
easy,Which of the three RFC1918 private ranges provides the greatest number of host addresses?,192.168.0.0/16,172.16.0.0/12,10.0.0.0/8,169.254.0.0/16,C,10.0.0.0/8 has 24 host bits yielding over 16 million addresses — the largest of the three RFC1918 private ranges.,rfc1918 private ranges,10/8; 172.16/12; and 192.168/16,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/Public vs Private IP Addresses.md
easy,On Windows what must you do before Telnet can be used at the command line?,Install a third-party SSH client first,Assign a static IP to the local machine,Enable the Telnet client feature which is turned off by default in Windows,Run the command prompt with elevated administrator privileges only,C,The Windows Telnet client is an optional feature — it must be enabled via Programs and Features before first use.,terminal workflow on windows,enabling telnet client and running cli sessions,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
medium,In classful IPv4 how many usable host addresses does a default Class C network provide?,16777214,65534,254,126,C,Class C has a /24 mask — 8 host bits gives 2^8 - 2 = 254 usable host addresses.,classful historical sizing,class a/b/c host capacity model,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IANA
medium,What key advantage does CIDR provide over classful IPv4 addressing for subnet design?,CIDR assigns addresses faster using a simplified lookup algorithm,CIDR allows any prefix length enabling precise subnet sizing and significantly reducing IP address waste,CIDR functions only with IPv6 and cannot be used with IPv4,CIDR eliminates the need for subnet masks in routing decisions,B,CIDR decouples prefix length from Class A/B/C rules — any /prefix can be used so subnets can match exact organizational need.,classless subnetting,cidr prefix notation decoupled from strict a/b/c boundaries,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
medium,How does a host use its subnet mask to decide whether to deliver traffic directly or send it via the default gateway?,It sends an ARP broadcast and uses the response to determine local vs remote,It performs a bitwise AND of the destination IP with its subnet mask and compares the result to its own network ID,It checks the DHCP server for the destination's current lease information,It queries DNS to determine whether the destination is local or remote,B,Bitwise AND of destination IP and mask extracts the destination network — a match means local delivery; no match means send to gateway.,ip-mask relationship,bitwise masking determines local network membership and gateway decisions,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
medium,Which DNS record type maps a hostname to an IPv4 address?,MX record,CNAME record,A record,PTR record,C,The DNS A record maps a hostname (e.g. www.example.com) to its IPv4 address — the most common DNS lookup type.,dns administration context,name resolution architecture remains core in week 6 operations,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 6 DNS and Name Resolution/DNS
medium,Which Windows command displays the current IP address; subnet mask; and default gateway of each network adapter?,netstat,nslookup,ping,ipconfig,D,ipconfig shows the full IP configuration of each interface — address; mask; gateway; and optional DHCP/DNS details.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 7 Windows Network Commands/Windows Network Commands - What They Do.md
medium,What is the general procedure to factory reset a Cisco switch to its default configuration?,SSH in and issue erase running-config then reboot,Interrupt the boot process; enter the boot loader; delete startup-config and vlan.dat; then reboot,Power cycle the switch three times while holding the mode button,Delete the IOS image and let the switch auto-download a replacement,B,Factory reset requires interrupting boot to reach the boot loader; removing startup-config and vlan.dat; then rebooting.,cisco switch factory reset path,boot interruption; flash initialization; config deletion; and reboot,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 11 - Factory Reset Cisco Switch/Transcript.md
