difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is a WAN link?,A cable connecting two devices in the same room,A connection that links LANs across large geographic distances,A wireless connection inside a single building,The cable between a switch port and a NIC,B,A WAN link connects LANs — anything outside the local network boundary is treated as WAN.,wan link,connects lans; anything outside the local network is treated as wan,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,What does the shared internet model allow multiple internal devices to do?,Each device requires its own dedicated WAN circuit,Multiple internal devices share one router uplink to access the internet,Devices exchange internet routing tables with each other directly,All devices receive separate public IPs from the ISP,B,In a shared internet model one router uplink provides internet access to all devices on the internal LAN.,shared internet model,one router uplink can provide internet access to multiple internal devices,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
medium,Which topology style routes all traffic through a single central node to reach any other node?,Full mesh,Ring,Hub-and-spoke,Partial mesh,C,Hub-and-spoke centralizes all connections — branches link only to the hub with no direct spoke-to-spoke paths.,hub-and-spoke,centralized style of partial mesh,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What distinguishes a partial mesh from a full mesh topology?,Partial mesh connects only two nodes; full mesh connects three or more,In partial mesh only some nodes have redundant paths while full mesh interconnects every node,Partial mesh uses only wireless links,Partial mesh requires a central hub for all traffic,B,Partial mesh gives selected nodes redundant paths for resilience but not every pair of nodes has a direct link.,partial mesh,some nodes have redundant paths; not all,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What characterizes a mesh topology in general?,All devices share a single backbone cable,All devices form a closed loop,Multiple interconnections exist between nodes providing redundant paths,All devices connect to one central switch,C,Mesh topology creates multiple interconnections between nodes so data can travel via alternative paths if one link fails.,mesh topology,multiple interconnections between nodes,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What type of WAN link uses a provider or carrier circuit for a committed short-distance connection between sites?,Internet VPN tunnel,Satellite broadband link,Provider/carrier dedicated circuit,Consumer DSL modem,C,Dedicated WAN links use carrier circuits that provide committed bandwidth — unlike shared internet connections.,dedicated wan connectivity,provider/carrier circuits are used for short-distance dedicated links,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
medium,What does a client-to-site VPN provide to a remote worker?,A fiber uplink directly to the office building,Encrypted access to internal network resources from a remote location over the internet,A public IP address routed directly to the remote laptop,Automatic DNS resolution for all internal hostnames,B,A client-to-site VPN creates an encrypted tunnel so remote users can securely reach internal resources.,client-to-site vpn,remote client access into internal network resources,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What general term describes any signal disturbance that degrades communication quality on a network?,Encapsulation,Fragmentation,Interference/noise,Multiplexing,C,Interference or noise is any signal disturbance — electrical; radio; or environmental — that degrades network communication quality.,interference/noise,signal disturbance that degrades communication,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What causes optical signal degradation in a fiber cable?,High voltage from adjacent copper cabling,Radio frequency emissions from nearby wireless access points,Optical medium quality declining due to physical bends; damage; or excessive distance,Switching loops in the connected Layer 2 network,C,Fiber degradation occurs when the optical signal weakens due to bends; excessive distance; or physical damage to the cable.,fiber degradation,optical medium quality can decline with distance/conditions,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,In network operations what does it mean when a device or link is described as down?,The device is physically rack-mounted but not yet configured,The device is connected and actively forwarding traffic,The link or device is non-operational due to failure; maintenance; or power loss,The device has an expired DHCP lease,C,Down means off; failed; or under maintenance — the device or link is not passing traffic.,up/down state,up means operational; down means off; failed; or under maintenance,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What is the primary value that networking provides to an organization?,Eliminating the need for IP addressing schemes,Sharing internet access; files; resources; programs; and user communication channels,Reducing the physical count of servers in a data center,Preventing all unauthorized access to company systems,B,The core value of a network is enabling sharing — internet; files; printers; storage; applications; and communication.,network value model,sharing internet access; files; resources; programs; and user communication channels,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
medium,What does the shared resource model enable in a networked environment?,Each user has a private printer and personal storage with no sharing,Printers and storage are centralized and accessible by multiple users simultaneously,Resources are distributed to every device to eliminate a single point of failure,Only servers can access shared resources on behalf of clients,C,In the shared resource model centralized devices like printers and file servers serve many users at once.,shared resource model,printers and storage can be centralized and accessed by multiple users,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
medium,How does joining a shared network environment affect a user's endpoint independence?,Users gain complete control over all shared resources and can set their own policies,Users lose full endpoint independence as network policies; sharing; and admin controls govern behavior,Endpoints become completely isolated from one another by default,Users can bypass all security controls through the shared network,B,In shared environments network policies; centralized administration; and shared access all constrain what individual users can do independently.,network operations impact,users lose full endpoint independence in shared environments,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,How many layers does the OSI model have?,4,5,7,9,C,The OSI model has 7 layers: Physical; Data Link; Network; Transport; Session; Presentation; Application.,osi stack overview,application; presentation; session; transport; network; data link; physical,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,What does ARP stand for?,Address Resolution Protocol,Automatic Routing Protocol,Application Response Procedure,Advanced Relay Protocol,A,ARP = Address Resolution Protocol — it maps a known IPv4 address to the device's MAC address.,arp function,resolves ipv4 address to mac address in local network,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,At which OSI layer do routers operate?,Layer 1,Layer 2,Layer 3,Layer 4,C,Routers operate at Layer 3 (Network) using IP addresses to route packets between LANs.,layer-3 role,routers move packets between lans using ip addressing,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/OSI Model Layers 1-3.md
easy,What type of address does ARP resolve a known IP address into?,Port number,MAC address,Domain name,Subnet mask,B,ARP resolves a known IP address to the corresponding MAC address on the local network segment.,arp function,resolves ipv4 address to mac address in local network,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,How many bits make up a MAC address?,32,48,64,128,B,A MAC address is 48 bits long split into the OUI (vendor) portion and the NIC-specific portion.,mac address structure,48-bit address split into oui (vendor) and nic-specific portions,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/MAC Addresses.md
easy,What is a protocol in networking?,A type of physical cable connector,Communication rules covering formatting; transmission; and processing,A routing table entry format,A subnet mask encoding scheme,B,A protocol is a formal set of communication rules defining how data is formatted transmitted and processed.,protocol definition,communication rules for formatting; transmission; and processing,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
medium,Which OSI layer handles MAC address delivery within a LAN?,Layer 1,Layer 2,Layer 3,Layer 4,B,Layer 2 (Data Link) uses MAC addresses to deliver frames between devices inside a local network.,layer-2 role,switches/nics deliver frames inside a lan using mac addresses,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/OSI Model Layers 1-3.md
medium,What are the first three bytes of a MAC address called?,NIC identifier,Device serial number,OUI (Organizationally Unique Identifier),Frame delimiter,C,The first 3 bytes of a MAC address are the OUI which identifies the hardware manufacturer.,mac address structure,oui (vendor) and nic-specific portions,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/MAC Addresses.md
medium,In which direction does data travel through the OSI stack during transmission?,Up the stack from Physical to Application,Down the stack from Application to Physical,Sideways between same-layer peers only,Across Layer 3 to each LAN segment,B,During transmission the data path goes down the OSI stack; during reception it travels up the stack.,layer direction model,transmit path goes down stack; receive path goes up stack,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,What is RARP and what is it used for?,A modern path-vector routing protocol,A legacy reverse mapping protocol that requests an IP address from a known MAC,A DNS request record type,A multicast group management protocol,B,RARP (Reverse ARP) is a legacy protocol where a device broadcasts its MAC to request an IP address from a server.,rarp function,legacy reverse mapping from mac to ip request model,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,Which standards body publishes the IEEE 802.3 Ethernet standard?,IETF,IANA,ISO,IEEE,D,The IEEE (Institute of Electrical and Electronics Engineers) is responsible for the 802.3 Ethernet standard.,standards bodies,ieee; ietf; iso; and iana roles in networking consistency,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
medium,What does an ARP cache store?,Port-to-application number mappings,IP-to-MAC address mappings maintained by each local device,Dynamic routing table entries,DNS A record responses,B,Each device maintains a local ARP cache that maps known IP addresses to their corresponding MAC addresses.,arp table/cache,local database of ip-to-mac mappings maintained by each device,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
hard,What is the key distinction between a networking standard and a networking protocol?,Standards are hardware; protocols are software,Standards are formal published specifications enabling interoperability between different vendors,Standards are always proprietary; protocols are always open,Standards replace protocols entirely in modern networks,B,A standard is a formally published specification ensuring different vendors' implementations work together.,standard definition,formal published specification enabling interoperability,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
hard,What is IANA's role in the global networking ecosystem?,Designing physical cable and connector standards,Coordinating global distribution of IP addresses and protocol number assignments,Publishing the Ethernet frame definition and timing rules,Testing new network protocols in controlled laboratory environments,B,IANA (Internet Assigned Numbers Authority) coordinates global IP address allocation and protocol parameter registries.,standards bodies,ieee; ietf; iso; and iana roles in networking consistency,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
hard,Which IP address range indicates a device failed to get a DHCP address and self-assigned an APIPA address?,192.168.x.x,10.x.x.x,169.254.x.x,172.16.x.x,C,APIPA (Automatic Private IP Addressing) assigns a 169.254.x.x address when DHCP is unreachable.,ipv4 examples,private; loopback; and apipa-style formats,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
hard,Why do routers not forward ARP broadcasts between network segments?,ARP uses TCP which routers are configured to block,ARP is a Layer 2 broadcast and routers segment Layer 2 broadcast domains,ARP is a Layer 3 protocol handled by routing tables,Routers cannot read or process MAC addresses,B,Routers operate at Layer 3 and segment broadcast domains preventing Layer 2 ARP floods from propagating.,arp function,resolves ipv4 address to mac address in local network,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
hard,In classful IPv4 what default subnet mask does a Class B network use?,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.128,B,Class B uses a /16 default mask (255.255.0.0) supporting up to 65534 hosts per network.,classful addressing model,a/b/c ranges and default masks,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
hard,What does it mean when all host bits in an IPv4 address are set to binary 1?,It becomes a network address identifying the subnet,It becomes the directed broadcast address for that subnet,It becomes a loopback address,It becomes an APIPA address,B,All host bits set to 1 produce the broadcast address — frames are delivered to all hosts on that subnet.,reserved address behavior in subnet,all-ones host bits = broadcast,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,What does OSI Layer 1 (Physical) handle in network communications?,IP address routing between networks,Frame delivery using MAC addresses,Physical signaling over cables and connectors,Session establishment and teardown,C,Layer 1 handles the physical medium — electrical voltage levels; light intensity for fiber; and radio waves for wireless.,layer-1 role,physical signaling over media/connectors (for example rj-45; copper; fiber),/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/OSI Model Layers 1-3.md
easy,What is the primary purpose of an IP address?,To identify the physical hardware manufacturer of a NIC,A logical identifier that allows hosts to be located and routed to on a network,To replace the MAC address at all protocol layers,To identify the application port number on a destination host,B,An IP address is a logical identifier used for routing — it tells the network how to find and deliver to a host.,ip address purpose,logical identifier used for host/network routing context,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,Which of the following is an example of a private IPv4 address?,8.8.8.8,198.51.100.1,172.16.5.10,100.64.0.1,C,172.16.5.10 falls in the 172.16.0.0/12 RFC1918 private range. Private ranges are 10/8; 172.16/12; and 192.168/16.,ipv4 examples,private; loopback; and apipa-style formats,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,In classful IPv4 which class covers the range 10.0.0.0 and uses a default /8 subnet mask?,Class B,Class C,Class A,Class D,C,Class A spans 1.0.0.0 to 126.255.255.255 with a /8 default mask — the 10.0.0.0 block is a Class A private range.,classful addressing model,a/b/c ranges and default masks,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,In an IPv4 subnet what does an address with all host bits set to binary 0 represent?,The first usable host address on the subnet,The broadcast address of the subnet,The network identifier — not assignable to any host,The loopback address for that subnet,C,All host bits = 0 produces the network address — it identifies the subnet itself and cannot be assigned to a host.,reserved address behavior in subnet,all-zeros host bits = network address; all-ones host bits = broadcast,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,What is a networking standard?,A hardware component specification with no software component,A formal published specification that enables interoperability between different vendors' implementations,A proprietary protocol owned and controlled by a single manufacturer,A government security policy mandated for all networks,B,A standard is a formally published document ensuring equipment from different manufacturers works together.,standard definition,formal published specification enabling interoperability,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
easy,What does ICMP stand for?,Internet Control Message Protocol,Internal Communication Mode Protocol,IP Collision Management Protocol,Inter-network Control Method Protocol,A,ICMP (Internet Control Message Protocol) supports diagnostic tools like ping and tracert/traceroute.,icmp tooling,ping; tracert; traceroute for reachability/path diagnostics,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
easy,Which delivery mode sends a frame to every device on the local network segment?,Unicast,Multicast,Broadcast,Anycast,C,Broadcast delivers to all local hosts using destination MAC FF:FF:FF:FF:FF:FF.,broadcast,one sender to all local hosts using destination mac ff:ff:ff:ff:ff:ff,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 1 - Unicast
easy,What does FCS stand for in an Ethernet frame?,Frame Check Sequence,Forwarding Control System,Fast Collision Stop,Frame Content Standard,A,FCS (Frame Check Sequence) is the Ethernet trailer field that carries the CRC for error detection.,crc/fcs role,frame-level corruption detection,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 2 - Ethernet Frame Structure/Frame Fields.md
easy,In the TCP/IP model which layer maps to OSI Application Presentation and Session combined?,Transport,Internet,Network Access,Application,D,The TCP/IP Application layer collapses the three upper OSI layers into one.,tcp/ip to osi mapping,tcp/ip application maps to osi application/presentation/session,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
easy,Which command-line tool tests basic network reachability using ICMP Echo Requests?,tracert,netstat,ipconfig,ping,D,The ping command sends ICMP Echo Requests and reports whether a remote host responded.,icmp tooling,ping; tracert; traceroute for reachability/path diagnostics,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
easy,Which delivery mode sends traffic from one sender to exactly one specific receiver?,Broadcast,Multicast,Unicast,Anycast,C,Unicast is a one-to-one transmission — a single sender communicates with a single named receiver.,unicast,one sender to one receiver,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 1 - Unicast
medium,Which media access method does Wi-Fi use to reduce collisions?,CSMA/CD,CSMA/CA,Token Passing,TDMA,B,CSMA/CA (Collision Avoidance) is used in wireless where collision detection is not feasible.,csma/ca,collision-avoidance access model used in wireless contexts,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 3 - CSMA-CD and CSMA-CA/CSMA-CA.md
medium,What happens to MAC addresses when a packet crosses a router boundary?,They are preserved end-to-end across the entire path,They are replaced at each router hop (hop-local),They are permanently stripped and not used beyond the first router,They are stored in the routing table for reuse,B,MAC addresses are hop-local — each router replaces source and destination MAC for the next link.,mac boundary at router,mac addresses are hop-local and do not traverse subnets end-to-end,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
medium,What is encapsulation in the context of networking?,Compressing data to reduce transmission overhead,Wrapping higher-layer data with lower-layer headers and trailers for transmission,Encrypting packet payloads before they leave the host,Splitting large frames into smaller segments,B,Encapsulation adds lower-layer headers and trailers around higher-layer data as it moves down the protocol stack.,encapsulation,higher-layer data wrapped by lower-layer headers/trailer for transmission,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 2 - Ethernet Frame Structure/Encapsulation.md
medium,Which Ethernet frame fields appear before the data payload?,Type/Length only,FCS and Preamble only,Destination MAC; source MAC; and Type/Length,Source MAC and FCS,C,An Ethernet frame begins with destination MAC; source MAC; and Type/Length fields before the payload data.,ethernet frame structure,destination mac; source mac; type/length; payload; fcs,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 2 - Ethernet Frame Structure/Frame Fields.md
medium,What does CSMA/CD do after detecting a collision?,Ignores the collision and retransmits immediately,Waits a random backoff period before retransmitting,Drops all pending traffic permanently,Switches the affected port to full-duplex mode,B,CSMA/CD detects collisions then applies random backoff timing before retransmitting to reduce repeat collisions.,csma/cd,collision handling model for shared half-duplex ethernet media,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 3 - CSMA-CD and CSMA-CA/CSMA-CD.md
medium,How does tracert identify each router hop along the network path?,By performing a DNS lookup at each hop,By sending packets with incrementing TTL values and collecting ICMP Time Exceeded replies,By using ARP to discover each gateway,By completing a TCP handshake with each router,B,tracert increments TTL by 1 per probe; each router that drops the packet sends an ICMP Time Exceeded revealing its address.,icmp tooling,ping; tracert; traceroute for reachability/path diagnostics,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
