difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,Which network service translates addresses between networks and is often performed on a firewall?,NAT,QoS,Load balancing,Caching,A,NAT translates addresses between networks and is often performed on a firewall.,firewall nat,related firewall service,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,In network security what does IDS stand for?,Intrusion Detection System,Integrated Directory Service,Internal Defense Standard,Ingress Detection Switch,A,IDS stands for Intrusion Detection System.,ids meaning,intrusion detection system,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,In network security what does IPS stand for?,Intrusion Prevention System,Internet Provisioning Service,Ingress Protection Standard,Internal Packet Service,A,IPS stands for Intrusion Prevention System.,ips meaning,intrusion prevention system,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What kinds of security problems do IDS and IPS target?,Exploits and vulnerabilities,Routing metrics and timers,Wireless channels and bands,Storage quotas and snapshots,A,IDS and IPS target exploits and vulnerabilities.,ids ips scope,exploits and vulnerabilities,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
hard,Which software vulnerability could an IDS or IPS detect?,Cross-site scripting,Spanning-tree recalculation,Duplex mismatch,Optical attenuation,A,Cross-site scripting is a software vulnerability type that an IDS or IPS might detect.,vulnerability example,cross site scripting,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
hard,Which software vulnerability could an IDS or IPS also detect?,Buffer overflows,DHCP leases,MAC aging,Power over Ethernet,A,Buffer overflows are another software vulnerability type that an IDS or IPS might detect.,vulnerability example,buffer overflows,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What primary job does a load balancer perform?,Distribute the load across resources,Encrypt traffic between branch routers,Assign switch ports to VLANs,Convert private IP addresses to public ones,A,A load balancer distributes traffic across resources.,load balancer purpose,distribute load,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What server environment often uses a load balancer to distribute client requests?,Web server farms,Satellite uplinks,Serial console concentrators,Twisted-pair patch panels,A,Web server farms often use a load balancer to distribute client requests.,load balancer use case,web server farms,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What other server environment often uses a load balancer to distribute demand across multiple systems?,Database farms,Proxy caches,Mail relays,Directory forests,A,Database farms also often use a load balancer to distribute demand across multiple systems.,load balancer use case,database farms,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,Which load-balancer benefit keeps an application available when one backend server fails?,Fault tolerance,Loop prevention,ARP inspection,Packet shaping,A,Fault tolerance and redundancy keep an application available when one backend server fails.,load balancer benefit,fault tolerance redundancy,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
hard,What load-balancing task does TCP offload move onto the load balancer?,The device helps handle transport-protocol processing overhead,The device converts TCP traffic into UDP,The device disables retransmissions on the server,The device moves all routing to the client,A,TCP offload allows the load balancer to handle part of the TCP protocol overhead instead of leaving all of that work to backend servers.,load balancer feature,tcp offload,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
hard,What server workload does SSL offload remove from backend servers?,The load balancer handles encryption-related processing for back-end services,The load balancer converts HTTPS to Telnet,The load balancer blocks all secure traffic,The load balancer disables certificates,A,SSL offload lets the load balancer handle encryption-related workload for backend servers.,load balancer feature,ssl offload,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,Which load-balancer feature speeds up responses by storing reusable content?,Caching,Trunking,Fragmentation,Deauthentication,A,Caching speeds up responses by storing reusable content.,load balancer feature,caching,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
hard,How does content switching change load-balancer traffic decisions?,Application-centric balancing based on content or service context,Balancing only multicast traffic,Switching from copper to fiber media,Changing a file format before download,A,Content switching on a load balancer means application-centric balancing.,load balancer feature,content switching,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What role does a proxy server play in a network connection?,A device or service that sits between users and the external network,A router that advertises dynamic routes,A wireless controller that manages access points,A protocol that assigns IP addresses,A,A proxy sits between users and the external network.,proxy definition,between users and external network,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,How does a proxy server handle a user's network request?,It receives the request and sends it on the user's behalf,It drops the request unless it is multicast,It rewrites the request into binary only,It forwards the request directly to a VLAN interface,A,A proxy server receives a user's network request and sends that request on the user's behalf.,proxy behavior,forwards on behalf of user,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,Which proxy feature can improve performance by storing reused responses?,Caching,Subnetting,Port mirroring,Route poisoning,A,Caching improves proxy performance for repeated requests.,proxy feature,caching,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,Which proxy feature helps control what users are allowed to reach?,Access control,Link aggregation,Clock synchronization,Fiber polishing,A,Access control helps manage what users are allowed to reach.,proxy feature,access control,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,Which proxy feature is used to restrict or inspect requested web destinations?,URL filtering,Broadcast flooding,Route redistribution,Loopback testing,A,URL filtering restricts or inspects requested web destinations.,proxy feature,url filtering,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,Which proxy capability inspects passing content for unsafe material?,Content scanning,Collision detection,Clock drift correction,Load shedding,A,Content scanning inspects passing content for unsafe material.,proxy feature,content scanning,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,In network design what makes a proxy invisible to users?,Users may not realize a proxy is handling their traffic,The proxy only works on private IPs,The proxy has no logging capability,The proxy can only forward encrypted traffic,A,An invisible proxy operates without the user being directly aware of it.,proxy behavior,invisible proxy,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,In enterprise storage what does SAN stand for?,Storage Area Network,Secure Access Node,Serial Attached Network,System Allocation Namespace,A,SAN stands for Storage Area Network.,san meaning,storage area network,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,How does a storage area network appear to an operating system or user?,It looks and feels like a storage device,It behaves like a firewall rule set,It appears as a wireless controller,It acts like a DNS server,A,A storage area network looks and feels like a storage device.,san description,looks like storage device,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
hard,What kind of storage access does a storage area network provide?,Block-level access,Only HTTP-based file access,Only wireless guest access,Only application-layer proxy access,A,A storage area network commonly provides block-level access to storage resources.,san access type,block level access,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,How efficiently does a storage area network handle reading and writing data?,Very efficient at reading and writing,Optimized only for email routing,Limited to half-duplex transfers,Designed only for low-speed backups,A,A storage area network is very efficient at reading and writing data.,san performance,efficient reading and writing,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What resource requirement is a common tradeoff when using a storage area network?,It requires a lot of bandwidth,It requires no addressing plan,It removes the need for switching,It only works with coax,A,A storage area network commonly requires a lot of bandwidth.,san tradeoff,high bandwidth requirement,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What management function does a wireless LAN controller provide for access points?,Centralized management of access points,Automatic mail encryption,Optical signal regeneration,Block-level storage virtualization,A,A wireless LAN controller provides centralized management for access points.,wlc purpose,centralized access point management,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What does Quality of Service do for application network traffic?,Prioritizes network communications for an application,Assigns MAC addresses to switches,Converts private IPs to public IPs,Builds storage snapshots,A,Quality of Service prioritizes network communications for an application.,qos function,prioritize application traffic,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.2 - Networking Functions.md
easy,What routing problem occurs when two routers each believe the other router is the next hop?,Routers incorrectly point traffic back and forth between each other,A host uses two DNS servers at once,A switch learns the same MAC on every port,A client fails to get a PoE budget,A,That situation creates a routing loop.,routing loop definition,recursive next hop problem,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.2 - Networking Functions.md
easy,"In a routing loop between two routers, what incorrect next-hop belief causes Router B to keep forwarding traffic the wrong way?",Router A is the next hop,Router B is the default gateway for DNS,Router A is a wireless controller,Router B has no routing table,A,"In this routing loop, Router B incorrectly believes Router A is the next hop.",routing loop example,router b next hop belief,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.2 - Networking Functions.md
easy,"In a routing loop between two routers, what incorrect next-hop belief causes Router A to keep forwarding traffic the wrong way?",Router B is the next hop,Router A is a DHCP server,Router B is a Layer 1 repeater,Router A has become a SAN,A,"In this routing loop, Router A incorrectly believes Router B is the next hop.",routing loop example,router a next hop belief,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.2 - Networking Functions.md
medium,For a cached DNS record what does the TTL value describe?,How long a resolved DNS entry is cached in seconds,How many DNS servers a client may contact at once,The number of records allowed in a zone file,The physical distance between a client and resolver,A,The DNS TTL value describes how long a cached DNS record should be kept in seconds.,dns ttl,dns cache lifetime,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.2 - Networking Functions.md
easy,In cloud networking what does NFV stand for?,Network Function Virtualization,Native Firewall Verification,Network Fabric Visibility,Next-hop Forwarding Vector,A,NFV stands for Network Function Virtualization.,nfv meaning,network function virtualization,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,In cloud networking what does VPC stand for?,Virtual Private Cloud,Virtual Proxy Controller,Variable Path Circuit,Verified Private Cluster,A,VPC stands for Virtual Private Cloud.,vpc meaning,virtual private cloud,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,What Layer 3 capabilities make a virtual private cloud different from a VLAN?,A VPC is described as being like a VLAN but at Layer 3,A VPC is described as a Layer 1 cabling standard,A VPC is described as identical to a proxy server,A VPC is described as a wireless encryption method,A,"A virtual private cloud is similar to a VLAN, but it adds Layer 3 capabilities such as routing, gateways, and subnets.",vpc vs vlan,layer 3 comparison,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,Which Layer 3 functions make a virtual private cloud more than a simple VLAN?,Routing gateways and subnets,Only patch panels and rack labels,Only user authentication policies,Only optical wavelengths,A,"A virtual private cloud includes Layer 3 functions such as routing, gateways, and subnets.",vpc functions,routing gateways subnets,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,How far can a virtual private cloud extend across a network compared with a traditional VLAN?,A VPC can span WAN links and VPNs,A VPC is limited to a single unmanaged switch,A VPC only works inside one patch panel,A VPC cannot cross routed boundaries,A,"A virtual private cloud can span WAN links and VPNs, unlike a traditional local VLAN.",vpc scope,spans wan links and vpns,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,What two environments can a VPC private cloud gateway connect?,A homelab to Amazon Web Services for cloud backup,Two printers on a local USB bus,A workstation directly to a SAN LUN,A Layer 2 switch to a coax segment,A,A VPC private cloud gateway can connect a homelab to AWS for cloud backup.,vpc private cloud gateway,homelab to aws backup,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
medium,What NAT behavior allows several private hosts to share one public IP address while still sending each internet reply packet to the correct internal host?,Tracking per-session mappings between each internal source IP address and port and the translated public IP address and port,Learning the remote internet servers' MAC addresses with ARP,Assigning each host a new subnet mask for outbound traffic,Forwarding every reply packet to all private hosts on the subnet,A,NAT lets several private hosts share one public IP address by tracking a per-session mapping between each internal source address and port and the translated public address and port. That stored mapping is what lets each internet reply packet return to the correct internal host.,vpc nat gateway,shared public ip session tracking,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,"When an internal host sends traffic to an internet server through NAT, what state does the NAT device track so the returning internet traffic reaches the correct internal host?",The session mapping between the internal source IP address and port and the translated public IP address and port,The ARP entry for the internet server on the remote network,The subnet mask that would make the internet server appear local,The switch CAM table entry for the remote web server,A,NAT returns internet reply traffic to the correct internal host by tracking the session mapping between the internal source address and port and the translated public address and port. ARP is only used on the local link and is not what identifies the correct internal host for return traffic from the internet.,nat gateway state,session state mapping for return traffic,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
hard,Which WAN design choice can be combined with a VPC NAT gateway to improve internet connectivity resilience?,Multiple WAN providers,Only analog phone lines,Only coax repeaters,Only local loopback interfaces,A,Multiple WAN providers can be combined with a VPC NAT gateway to improve internet connectivity resilience.,vpc nat gateway,multiple wan providers,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
hard,Which secure site-to-site connection can connect an on-premises network to Amazon Web Services?,Site-to-site to Amazon Web Services,Serial PPP to an access point,Local STP to a printer,USB tethering to a switch,A,A site-to-site connection to Amazon Web Services can link a site network in this cloud design.,vpc nat gateway,site to site aws,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
hard,How does a VPC endpoint keep traffic off the public internet?,It accesses AWS without a direct public-internet connection,It requires open inbound internet access from any host,It is only for on-prem serial management,It disables all private routing,A,A VPC endpoint reaches AWS resources without requiring a direct connection to the public internet.,vpc endpoint,private aws access,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,What cost benefit does a VPC endpoint provide for traffic that stays on a private path?,You do not pay for data transfers in that path,It always reduces hardware purchase cost to zero,It removes all VPN subscription costs forever,It guarantees free public IP addresses,A,A VPC endpoint avoids data-transfer charges for traffic that stays on that private path to AWS resources.,vpc endpoint,no data transfer charges,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,In cloud networking what does VNIC stand for?,Virtual Network Interface Card,Verified Network Internet Circuit,Virtual Node Integration Connector,Variable Network Interconnect Channel,A,VNIC stands for Virtual Network Interface Card.,vnic meaning,virtual network interface card,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.3.1 - Designing The Cloud.md
easy,In TCP/IP networking what does ICMP stand for?,Internet Control Message Protocol,Integrated Circuit Management Protocol,Internal Cloud Messaging Process,Ingress Control Mapping Port,A,ICMP stands for Internet Control Message Protocol.,icmp meaning,internet control message protocol,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
easy,Which common network diagnostic tool relies on ICMP echo messages?,Ping,Net use,Nslookup,Ipconfig,A,Ping relies on ICMP echo messages.,icmp use,ping,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
easy,In tunneling protocols what does GRE stand for?,Generic Routing Encapsulation,Gateway Relay Encryption,General Route Enumeration,Grouped Remote Exchange,A,GRE stands for Generic Routing Encapsulation.,gre meaning,generic routing encapsulation,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,GRE is commonly paired with what kind of secure network connection?,VPNs,DNS record management,Wireless channel bonding,Storage snapshots,A,GRE is commonly used with VPN connections.,gre use,vpns,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
easy,In VPN security what does IPSec stand for?,Internet Protocol Security,Integrated Packet Switching and Encryption,Internal Port Security,Internet Proxy Service Encryption,A,IPSec stands for Internet Protocol Security.,ipsec meaning,internet protocol security,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
easy,At which OSI layer does IPSec provide security?,Layer 3,Layer 1,Layer 5,Layer 7,A,IPSec provides security at OSI Layer 3.,ipsec layer,osi layer 3 security,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,Which security protections does IPSec provide?,Confidentiality and integrity with anti-replay,Availability and multicast with checksum,Compression and VLAN tagging,Authentication and load balancing,A,IPSec groups confidentiality with integrity and anti-replay.,ipsec properties,confidentiality integrity anti replay,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
easy,How widely standardized is IPSec?,Standardized,Experimental,Obsolete,Proprietary,A,IPSec is very standardized.,ipsec adoption,very standardized,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
easy,How many core IPSec protocols does IPSec have?,Two,One,Three,Four,A,IPSec has two core protocols.,ipsec protocol count,two core protocols,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,In IPSec negotiation what does IKE stand for?,Internet Key Exchange,Integrated Key Encryption,Internal Kernel Engine,Internet Kernel Encapsulation,A,IKE stands for Internet Key Exchange.,ike meaning,internet key exchange,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,What do two IPSec peers use IKE to agree on?,Encryption and decryption keys,DNS record priorities,Wireless channel widths,Patch panel labels,A,Two IPSec peers use IKE to agree on encryption and decryption keys.,ike purpose,agree on keys,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,What security relationship does IKE establish before IPSec-protected traffic begins to flow?,A security association or SA,A loopback interface,A spanning tree instance,A storage snapshot,A,IKE builds a security association before protected traffic begins to flow.,ike result,builds security association,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,Which key-exchange method is named in IKE Phase 1?,Diffie Hellman,Kerberos,RADIUS,EAP,A,IKE Phase 1 uses Diffie Hellman to create a shared secret key.,ike phase 1,diffie hellman shared secret,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,Which UDP port is used by ISAKMP?,UDP 500,UDP 4500,TCP 500,TCP 443,A,ISAKMP uses UDP 500.,ike isakmp port,udp 500,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,In IPSec key management what does ISAKMP stand for?,Internet Security Association and Key Management Protocol,Integrated Security Application and Key Messaging Process,Internet Session Authentication and Key Mapping Protocol,Internal Secure Addressing and Key Management Process,A,ISAKMP stands for Internet Security Association and Key Management Protocol.,isakmp meaning,internet security association and key management protocol,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,What secure tunnel is created during the IKE Phase 1 ISAKMP step?,The ISAKMP tunnel,A VLAN trunk,A DHCP scope,A proxy cache,A,Phase 1 includes building the ISAKMP tunnel.,ike phase 1,building isakmp tunnel,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,What encryption details does IKE Phase 2 coordinate?,Ciphers and key sizes,Patch panel labels and rack units,MAC addresses and duplex modes,Wireless channels and SSIDs,A,IKE Phase 2 coordinates ciphers and key sizes.,ike phase 2,coordinate ciphers and key sizes,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
hard,What security relationship does IKE Phase 2 negotiate?,Inbound and outbound security associations for IPSec,Loop prevention between switches,Database replication partners,Email relay trust paths,A,IKE Phase 2 negotiates inbound and outbound security associations for IPSec.,ike phase 2,negotiate inbound outbound sa,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.3 - other useful protocols.md
medium,Which wireless standard uses the 5 GHz band with a maximum theoretical rate of 6 to 54 Mbit per second?,802.11a,802.11b,802.11n,802.11ax,A,802.11a uses the 5 GHz band with a maximum theoretical rate of 6 to 54 Mbit per second.,wifi standard,80211a band and rate,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.1 - Wireless Networking.md
medium,Which wireless standard uses the 2.4 GHz band with a maximum theoretical rate of 1 to 11 Mbit per second?,802.11b,802.11a,802.11ac,802.11be,A,802.11b uses the 2.4 GHz band with a maximum theoretical rate of 1 to 11 Mbit per second.,wifi standard,80211b band and rate,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.1 - Wireless Networking.md
medium,Which wireless standard uses the 2.4 GHz band with a maximum theoretical rate of 6 to 54 Mbit per second?,802.11g,802.11a,802.11n,802.11ax,A,802.11g uses the 2.4 GHz band with a maximum theoretical rate of 6 to 54 Mbit per second.,wifi standard,80211g band and rate,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.1 - Wireless Networking.md
medium,Which IEEE 802.11 wireless standard is known as Wi-Fi 4?,802.11n,802.11g,802.11ac,802.11be,A,802.11n is known as Wi-Fi 4.,wifi generation,80211n wifi 4,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.1 - Wireless Networking.md
medium,Which IEEE 802.11 wireless standard is known as Wi-Fi 5?,802.11ac,802.11n,802.11ax,802.11a,A,802.11ac is known as Wi-Fi 5.,wifi generation,80211ac wifi 5,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.1 - Wireless Networking.md
medium,"What port range is considered non-ephemeral, or permanent, ports?",0 through 1023,1 through 1024,1024 through 65535,49152 through 65535,A,"Non-ephemeral, or permanent, ports are ports 0 through 1023.",port range,non ephemeral well known ports,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.1 - Introduction to IP.md
medium,"What port range is considered ephemeral, or non-permanent, ports?",1024 through 65535,0 through 1023,20 through 21,49152 through 65535,A,"Ephemeral, or non-permanent, ports are ports 1024 through 65535.",port range,ephemeral ports,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.4.1 - Introduction to IP.md
easy,Which cable type is a common form of coaxial cabling?,RG-6,Cat 6A,OM4,DB9,A,RG-6 is a common example of a coaxial cable type.,coaxial cable,rg6 example,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.4 - Copper Cabling.md
easy,Twinaxial cable is typically used with what Ethernet speed?,10 Gbit Ethernet,100 Mbit Ethernet,1 Gbit Ethernet only,40 Gbit Ethernet only,A,Twinaxial cable is typically used with 10 Gbit Ethernet.,twinaxial cable,common 10 gigabit use,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.4 - Copper Cabling.md
easy,Which pluggable transceiver cable type is used with twinaxial cabling?,SFP plus cables,SFP cables,QSFP28 optics,BNC jumpers,A,Twinaxial cabling uses SFP+ cables.,twinaxial cable,sfp plus cables,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 2/1.5.4 - Copper Cabling.md
