difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
medium,Why is SSH preferred over Telnet for managing switches and routers?,SSH supports significantly more CLI commands than Telnet,SSH encrypts the entire session including credentials preventing interception by network sniffers,SSH is faster than Telnet over slow WAN links,Telnet requires a Windows-only client while SSH works cross-platform,B,Telnet sends everything in cleartext — a packet capture reveals passwords instantly. SSH encrypts all session data.,ssh replacement,encrypted remote shell with stronger authentication support,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
medium,How does a host use its subnet mask to decide whether a destination is on the local network or needs a gateway?,It compares hostnames using a local DNS lookup,It performs a bitwise AND of the destination IP with its own subnet mask and compares the result to its own network ID,It checks the routing table only for exact 32-bit host route matches,It sends an ARP request and uses the response to determine locality,B,Bitwise ANDing the destination IP with the mask extracts the destination's network ID — if it matches the local network ID no gateway is needed.,ip-mask relationship,bitwise masking determines local network membership and gateway decisions,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
medium,How many bits does IPv6 use for addressing and why was this increase necessary?,64 bits for improved routing efficiency,128 bits to provide a vastly larger address space than IPv4's 32-bit limit,32 bits same as IPv4 but with a different notation,256 bits to support future quantum networking,B,IPv6's 128-bit address space provides approximately 340 undecillion addresses resolving IPv4 exhaustion.,ipv6 structure,128-bit address space for long-term scalability,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IP Addressing Fundamentals.md
medium,Why must the IOS image never be deleted during a Cisco switch factory reset?,The IOS is stored in volatile RAM not in flash,Deleting the IOS leaves the switch with no operating system making it unbootable and requiring physical recovery,Cisco CLI prevents deletion of the IOS via any command,The IOS is write-protected in hardware and cannot be erased,B,Without the IOS the switch cannot boot at all — recovery requires a console cable and a TFTP transfer of the IOS image.,cisco switch factory reset path,boot interruption; flash initialization; config deletion; and reboot,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 11 - Factory Reset Cisco Switch/Transcript.md
medium,What is the key advantage of CIDR over classful IPv4 addressing?,CIDR assigns addresses more quickly using fewer bits,CIDR allows any prefix length decoupling subnet size from rigid Class A/B/C boundaries and reducing address waste,CIDR works only with IPv6 and not with IPv4,CIDR eliminates the need for subnet masks entirely,B,CIDR's flexible prefix lengths allow precise subnet sizing matching organizational needs instead of wasteful classful allocations.,classless subnetting,cidr prefix notation decoupled from strict a/b/c boundaries,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
easy,Besides remote device management what other task can Telnet be used for in network troubleshooting?,Capturing encrypted packet headers,Testing whether a specific TCP port on a remote host is open and responding,Assigning DHCP leases to network clients,Encrypting and tunneling diagnostic commands,B,Specifying a port number with Telnet tests TCP connectivity to any service — useful for checking if a port is reachable.,telnet operational uses,remote management and basic port connectivity testing,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,How many bits does an IPv6 address use?,32,64,128,256,C,IPv6 uses 128-bit addresses providing a vastly larger address space than IPv4's 32 bits.,ipv6 structure,128-bit address space for long-term scalability,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IP Addressing Fundamentals.md
easy,Which of the three RFC1918 private ranges provides the greatest number of host addresses?,192.168.0.0/16,172.16.0.0/12,10.0.0.0/8,169.254.0.0/16,C,10.0.0.0/8 has 24 host bits yielding over 16 million addresses — the largest of the three RFC1918 private ranges.,rfc1918 private ranges,10/8; 172.16/12; and 192.168/16,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/Public vs Private IP Addresses.md
easy,On Windows what must you do before Telnet can be used at the command line?,Install a third-party SSH client first,Assign a static IP to the local machine,Enable the Telnet client feature which is turned off by default in Windows,Run the command prompt with elevated administrator privileges only,C,The Windows Telnet client is an optional feature — it must be enabled via Programs and Features before first use.,terminal workflow on windows,enabling telnet client and running cli sessions,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
medium,In classful IPv4 how many usable host addresses does a default Class C network provide?,16777214,65534,254,126,C,Class C has a /24 mask — 8 host bits gives 2^8 - 2 = 254 usable host addresses.,classful historical sizing,class a/b/c host capacity model,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IANA
medium,What key advantage does CIDR provide over classful IPv4 addressing for subnet design?,CIDR assigns addresses faster using a simplified lookup algorithm,CIDR allows any prefix length enabling precise subnet sizing and significantly reducing IP address waste,CIDR functions only with IPv6 and cannot be used with IPv4,CIDR eliminates the need for subnet masks in routing decisions,B,CIDR decouples prefix length from Class A/B/C rules — any /prefix can be used so subnets can match exact organizational need.,classless subnetting,cidr prefix notation decoupled from strict a/b/c boundaries,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
medium,How does a host use its subnet mask to decide whether to deliver traffic directly or send it via the default gateway?,It sends an ARP broadcast and uses the response to determine local vs remote,It performs a bitwise AND of the destination IP with its subnet mask and compares the result to its own network ID,It checks the DHCP server for the destination's current lease information,It queries DNS to determine whether the destination is local or remote,B,Bitwise AND of destination IP and mask extracts the destination network — a match means local delivery; no match means send to gateway.,ip-mask relationship,bitwise masking determines local network membership and gateway decisions,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
medium,Which DNS record type maps a hostname to an IPv4 address?,MX record,CNAME record,A record,PTR record,C,The DNS A record maps a hostname (e.g. www.example.com) to its IPv4 address — the most common DNS lookup type.,dns administration context,name resolution architecture remains core in week 6 operations,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 6 DNS and Name Resolution/DNS
medium,Which Windows command displays the current IP address; subnet mask; and default gateway of each network adapter?,netstat,nslookup,ping,ipconfig,D,ipconfig shows the full IP configuration of each interface — address; mask; gateway; and optional DHCP/DNS details.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 7 Windows Network Commands/Windows Network Commands - What They Do.md
medium,What is the general procedure to factory reset a Cisco switch to its default configuration?,SSH in and issue erase running-config then reboot,Interrupt the boot process; enter the boot loader; delete startup-config and vlan.dat; then reboot,Power cycle the switch three times while holding the mode button,Delete the IOS image and let the switch auto-download a replacement,B,Factory reset requires interrupting boot to reach the boot loader; removing startup-config and vlan.dat; then rebooting.,cisco switch factory reset path,boot interruption; flash initialization; config deletion; and reboot,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 11 - Factory Reset Cisco Switch/Transcript.md
easy,What TCP port does Telnet use by default?,22,23,80,443,B,Telnet uses TCP port 23. SSH uses port 22; HTTP uses port 80; HTTPS uses port 443.,telnet definition,terminal-emulation protocol for remote cli administration,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What TCP port does SSH use by default?,21,22,23,25,B,SSH uses TCP port 22. Telnet uses port 23; FTP uses port 21; SMTP uses port 25.,ssh replacement,encrypted remote shell with stronger authentication support,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does hexadecimal notation use as its base?,Base 2,Base 8,Base 10,Base 16,D,Hexadecimal is base 16 — it uses digits 0-9 and letters A-F (A=10; B=11; C=12; D=13; E=14; F=15).,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the hexadecimal value of the decimal number 255?,0xFF,0xEE,0x0F,0xF0,A,255 in decimal = FF in hexadecimal (15×16 + 15 = 255). In networking 0xFF = 255 = 11111111 in binary.,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,Which Windows command-line tool tests basic IP reachability by sending ICMP Echo Requests?,nslookup,netstat,ping,ipconfig,C,ping sends ICMP Echo Requests to a target IP or hostname — if replies are received the destination is reachable at the IP level.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,Which Windows command displays active TCP and UDP connections and listening ports?,ping,ipconfig,nslookup,netstat,D,netstat (network statistics) shows active connections; listening ports; and network interface statistics — useful for identifying which services are running.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,Which Windows command is used to query DNS and resolve hostnames?,ipconfig,nslookup,netstat,tracert,B,nslookup queries DNS servers to resolve hostnames to IP addresses or reverse-resolve IPs to hostnames — a primary DNS troubleshooting tool.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows ipconfig /all command display that plain ipconfig does not?,Only the default gateway,Full details including MAC address; DNS servers; DHCP server; lease times; and all interface information,Only IPv6 addresses,Only the subnet mask without the IP address,B,ipconfig /all reveals complete network configuration: MAC address; DHCP enable/disable; DHCP server IP; DNS server IPs; and lease dates — essential for full network troubleshooting.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows command tracert do?,It traces the route packets take across the network showing each hop and the latency to each router,It captures all network packets on a local interface for analysis,It shows the MAC address table of the local switch,It lists all DHCP leases currently active on the DHCP server,A,tracert (traceroute on Linux) sends packets with increasing TTL values to reveal each router hop between the local host and the destination — showing IP addresses and round-trip times per hop.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the dotted-decimal subnet mask for a /24 prefix?,255.255.0.0,255.255.255.0,255.255.255.128,255.0.0.0,B,/24 means 24 bits set to 1 — written as 11111111.11111111.11111111.00000000 = 255.255.255.0.,prefix-to-mask conversion,/n indicates count of network bits set in subnet mask,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the hexadecimal representation of the decimal number 10?,0x0A,0x10,0x1A,0xA0,A,Decimal 10 in hexadecimal = A (hex digits 0-9 then A=10; B=11; up to F=15). Written 0x0A.,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,How many host bits does a default Class A network address contain?,8,16,24,32,C,Class A uses the first octet for the network ID (8 bits) leaving 24 bits for host addresses providing up to 16777214 usable hosts.,classful historical sizing,class a/b/c host capacity model,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,How many host addresses can a default Class A network support (using the 2^n - 2 formula)?,65534,1048574,16777214,4294967294,C,Class A has 24 host bits: 2^24 = 16777216 - 2 = 16777214 usable host addresses.,classful historical sizing,class a/b/c host capacity model,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,How many host addresses can a default Class B network support?,254,65534,16777214,131072,B,Class B has a /16 default mask — 16 host bits: 2^16 - 2 = 65534 usable host addresses.,classful historical sizing,class a/b/c host capacity model,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is BGP commonly used for in internet routing?,Assigning IP addresses within a corporate LAN,Routing traffic between different autonomous systems on the internet,Encrypting data in transit between routers,Resolving hostnames in large enterprise networks,B,BGP (Border Gateway Protocol) is the routing protocol that connects autonomous systems — it is the protocol that makes the global internet work by exchanging routes between ISPs.,bgp function,inter-domain routing and multi-path redundancy between providers,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is an Autonomous System (AS) in the context of BGP?,A single router that connects two different networks,A collection of IP networks under a single administrative domain with a unified routing policy,A type of private IP address range,A backup path used when the primary BGP route fails,B,An Autonomous System (AS) is a network or group of networks under a single administrative control — each AS has a unique AS number (ASN) and BGP routes between them.,bgp function,inter-domain routing and multi-path redundancy between providers,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the dotted-decimal equivalent of the /16 subnet mask?,255.0.0.0,255.255.0.0,255.255.255.0,255.128.0.0,B,/16 = 16 bits set to 1 → first two octets = 255.255; last two octets = 0.0 → 255.255.0.0.,prefix-to-mask conversion,/n indicates count of network bits set in subnet mask,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows command arp -a display?,The current default gateway IP addresses for all interfaces,The ARP cache — the list of known IP-to-MAC address mappings on the local machine,All DNS records cached by the DNS client,The list of active BGP routes on the local system,B,arp -a displays the ARP cache — all IP-to-MAC mappings the host has learned on each interface; useful for verifying ARP resolution and detecting conflicts.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the hexadecimal value of the decimal number 16?,0x10,0x16,0x1F,0xAA,A,Decimal 16 = 1×16 + 0 = 0x10 in hexadecimal. The pattern: decimal 32 = 0x20; decimal 256 = 0x100.,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the DNS record type PTR do?,Maps a hostname to its MAC address,Maps an IP address back to a hostname for reverse DNS lookup,Identifies the authoritative name server for a zone,Creates an alias pointing one hostname to another hostname,B,A PTR (Pointer) record maps an IP address to a hostname — used for reverse DNS lookup.,dns administration context,name resolution architecture remains core in week 6 operations,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows ipconfig /release command do?,Renews the DHCP lease to get a fresh IP address,Releases the DHCP-assigned IP address back to the DHCP server,Clears the DNS resolver cache on the local machine,Resets the Winsock networking stack,B,ipconfig /release sends a DHCP Release message and removes the IP configuration from the interface — the host has no IP after this command.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows ipconfig /renew command do?,Clears the DNS cache so all hostnames must be re-resolved,Sends a new DHCP request to obtain or refresh an IP address lease,Resets the TCP/IP stack to factory defaults,Releases all current IP addresses and shuts down the NIC,B,ipconfig /renew sends a DHCP request to renew the current lease or obtain a new IP address — used after /release or after moving to a new network.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the command ipconfig /flushdns do on Windows?,Resets all IP addresses on the host to APIPA,Clears the local DNS resolver cache forcing all future name lookups to query the DNS server freshly,Releases the DHCP lease and removes the IP address,Shows the DNS server address assigned to each interface,B,ipconfig /flushdns clears the DNS client cache — useful when DNS records have recently changed and the cached old entry is causing incorrect resolution.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,Which IPv6 address type is equivalent to the IPv4 loopback address 127.0.0.1?,::0,::1,FF02::1,FE80::1,B,The IPv6 loopback address is ::1 — equivalent to 127.0.0.1 in IPv4; used to test the local network stack without sending traffic on the wire.,ipv6 structure,128-bit address space for long-term scalability,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,How are IPv6 addresses written in their standard notation?,Four groups of decimal numbers separated by dots,Eight groups of four hexadecimal digits separated by colons,Four hexadecimal bytes separated by hyphens like a MAC address,Sixteen decimal octets separated by spaces,B,IPv6 addresses are 128 bits written as eight groups of four hexadecimal digits separated by colons — for example 2001:0db8:85a3:0000:0000:8a2e:0370:7334.,ipv6 structure,128-bit address space for long-term scalability,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the purpose of the Windows route print command?,It configures VLAN settings on a local switch,It displays the local IP routing table showing how packets are forwarded,It shows all active DNS records for the local domain,It tests SSH connectivity to a remote server,B,route print displays the local routing table — showing destination networks; subnet masks; gateways; and interfaces used for forwarding; including the default route (0.0.0.0).,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,In IPv6 notation what does the double colon (::) represent?,Two consecutive zeros in the address,One or more consecutive groups of all-zero (0000) fields used as shorthand to compress the address,A separator between the network prefix and the interface identifier,A wildcard matching any IPv6 address range,B,IPv6 compressed notation: :: represents one or more groups of 0000 — for example 2001:0db8::1 expands to 2001:0db8:0000:0000:0000:0000:0000:0001. Can only appear once per address.,ipv6 structure,128-bit address space for long-term scalability,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What hexadecimal digit represents the decimal value 15?,E,F,9,D,B,In hexadecimal: A=10; B=11; C=12; D=13; E=14; F=15. F is the maximum single hexadecimal digit.,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows netstat -an command show?,Only incoming connection requests,All active connections and listening ports with IP addresses and port numbers in numeric format,The ARP cache for all interfaces,The DNS record cache on the local machine,B,netstat -an shows all connections (-a) in numeric format (-n) without resolving hostnames — useful for seeing exactly which ports are open and what remote addresses are connected.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
hard,Which RIR is responsible for IP address allocation in Europe and the Middle East?,ARIN,APNIC,LACNIC,RIPE NCC,D,RIPE NCC (Réseaux IP Européens Network Coordination Centre) manages IP address allocation for Europe; the Middle East; and Central Asia.,allocation chain,iana to rir to isp/organization to endpoints,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does a Class C IPv4 address use as its first octet range?,1 to 126,128 to 191,192 to 223,224 to 239,C,Class C addresses begin with first-octet values 192 to 223 — these networks have a /24 default mask with 8 host bits and up to 254 usable hosts per network.,classful historical sizing,class a/b/c host capacity model,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the hexadecimal representation of the decimal number 192?,0xC0,0xA0,0xBF,0xD0,A,192 = 12×16 + 0 = C0 in hex (C=12; 0=0). Written as 0xC0. This appears frequently: MAC OUI bytes; IPv4 subnet masks.,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows ping -t command do?,Sends exactly 4 ICMP Echo Requests and stops,Sends a continuous stream of ICMP Echo Requests until manually stopped with Ctrl+C,Pings the default gateway every 30 seconds automatically,Tests TCP connectivity instead of ICMP,B,ping -t (Windows) sends continuous pings without stopping — press Ctrl+C to stop and see statistics. Useful for monitoring link stability over time.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What is the first-octet range for Class A IPv4 addresses?,0 to 127 (with 0 and 127 reserved),128 to 191,192 to 223,224 to 239,A,Class A: first octet 1-126 (0 and 127 reserved). Default mask /8. Up to 16.7 million hosts per network. Used by very large organizations.,classful historical sizing,class a/b/c host capacity model,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does Telnet use to connect to a specific service on a remote host when you specify a port number?,It connects automatically to the highest available port on the remote host,Specifying the port number causes Telnet to open a TCP connection to that specific port — this can test whether any TCP service is listening on that port,Telnet uses UDP when a specific port number is provided,Specifying a port number causes Telnet to encrypt the session for that port only,B,Telnet [host] [port] opens a raw TCP connection to the specified port — this is a simple way to verify TCP reachability for any service (port 80; 443; 25; etc.) without needing a protocol-specific client.,telnet operational uses,remote management and basic port connectivity testing,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
easy,What does the Windows tracert command use to discover each hop along a network path?,UDP datagrams sent to port 53 on the destination,ICMP Echo Requests with incrementally increasing TTL values — each router that drops a TTL-expired packet reveals itself,TCP SYN packets sent to port 80 on each router,ARP requests sent to each MAC address in the routing table,B,Windows tracert sends ICMP Echo Requests with TTL=1; 2; 3 etc. — each router sends back ICMP Time Exceeded revealing its IP.,windows network command usage,command-line tooling for troubleshooting and verification,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
medium,What is the decimal equivalent of the hexadecimal value 0xFF?,128,240,254,255,D,0xFF = 15×16 + 15 = 240+15 = 255. In networking 0xFF = 11111111 binary = the fully-set octet in subnet masks.,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
medium,An administrator types telnet 192.168.1.1 80 from a Windows command prompt and the connection succeeds. What has been verified?,A web browser successfully loaded the page at 192.168.1.1,That TCP port 80 is open and accepting connections at 192.168.1.1 — the HTTP service (or some TCP service) is listening on that port and accepting the TCP handshake,That the SSH service is running and accepting authentication,That the device at 192.168.1.1 has a valid web certificate,B,Telnet to a specific port tests TCP layer connectivity — a successful connection proves the port is open and the three-way handshake completed. The telnet tool sends raw TCP; it does not interpret HTTP responses.,telnet operational uses,remote management and basic port connectivity testing,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
medium,What is the decimal equivalent of the hexadecimal value 0xC0?,192,128,160,224,A,0xC0 = 12×16 + 0 = 192. This appears in the /26 subnet mask last octet (255.255.255.192 = 0xFF.0xFF.0xFF.0xC0).,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
medium,What does SSH use to provide stronger authentication compared to Telnet's simple password?,Telnet's password is encrypted with MD5 while SSH uses AES encryption,SSH supports public-key authentication where a cryptographic key pair replaces passwords — the private key stays on the client; the public key is installed on the server; authentication succeeds when the client proves possession of the private key without transmitting it; this is immune to password sniffing and brute force,SSH adds a second password prompt that makes it twice as secure as Telnet,SSH automatically rotates passwords every 30 seconds using a shared clock,B,SSH authentication methods: (1) Password — typed password encrypted in transit (better than Telnet but vulnerable to brute force). (2) Public key — RSA/ECDSA key pair; server verifies client's private key possession via challenge/response; private key never leaves the client. (3) Multi-factor — key + OTP. Public key auth is standard for automated systems and high-security environments.,ssh replacement,encrypted remote shell with stronger authentication support,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
medium,What is the prefix length of the subnet mask 255.255.252.0 and what is the decimal value of the third octet mask?,/20 with third octet = 240,/22 with third octet = 252,/21 with third octet = 248,/23 with third octet = 254,B,255.255.252.0: first two octets = 16 bits. Third octet 252 = 11111100 = 6 bits. Total = /22. Subnet increment = 4 in third octet.,prefix-to-mask conversion,/n indicates count of network bits set in subnet mask,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
medium,Why must an administrator never delete the IOS image file during a Cisco switch factory reset?,The IOS can be recovered from a backup stored in the switch's DRAM,Without the IOS the switch has no operating system — it cannot boot; cannot execute any commands; and cannot accept connections; the only recovery path requires physical console access and a TFTP server to upload a new IOS image; this is a time-consuming out-of-band procedure that can take the switch offline for hours; the startup-config and vlan.dat are the only files that should be deleted,Deleting the IOS causes the switch to automatically download the original factory version from the manufacturer,The IOS file is protected by a hardware lock and cannot be deleted even with the correct command,B,IOS recovery procedure (if deleted): connect laptop to console port. Enter ROM monitor (ROMMON). Set TFTP boot variables: IP_ADDRESS; IP_SUBNET_MASK; DEFAULT_GATEWAY; TFTP_SERVER; TFTP_FILE. Issue tftpdnld. Wait for IOS download. Reboot. This requires pre-staged TFTP server and correct IOS filename — a preventable situation.,critical reset files,remove startup config and vlan database; do not remove ios image files,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
